"file","caption","alt_text","category","png_time","StartTime"
"bio5_weightatsize.png","Weight-at-age for females",NA,"Bio",2026-04-22 20:43:10.40168,"StartTime: Wed Apr 22 20:15:58 2026"
"bio6_maturity.png","Spawning output at age (maturity x fecundity)",NA,"Bio",2026-04-22 20:43:10.40168,"StartTime: Wed Apr 22 20:15:58 2026"
"bio21_natmort.png","Natural mortality at age",NA,"Bio",2026-04-22 20:43:10.40168,"StartTime: Wed Apr 22 20:15:58 2026"
"sel02_multiple_fleets_age1.png","Selectivity at age for multiple fleets.",NA,"Sel",2026-04-22 20:43:10.40168,"StartTime: Wed Apr 22 20:15:58 2026"
"sel02_multiple_fleets_age2.png","Selectivity at age derived from selectivity at length for multiple fleets.",NA,"Sel",2026-04-22 20:43:10.40168,"StartTime: Wed Apr 22 20:15:58 2026"
"sel11_timevary_surf_flt1sex1.png","Time-varying selectivity for Fleet",NA,"Sel",2026-04-22 20:43:10.40168,"StartTime: Wed Apr 22 20:15:58 2026"
"sel12_timevary_contour_flt1sex1.png","Time-varying selectivity for Fleet",NA,"Sel",2026-04-22 20:43:10.40168,"StartTime: Wed Apr 22 20:15:58 2026"
"sel13_age_flt1sex1.png","Ending year selectivity for Fleet",NA,"Sel",2026-04-22 20:43:10.40168,"StartTime: Wed Apr 22 20:15:58 2026"
"sel14_age_flt2sex1.png","Ending year selectivity for BTS",NA,"Sel",2026-04-22 20:43:10.40168,"StartTime: Wed Apr 22 20:15:58 2026"
"sel14_age_flt3sex1.png","Ending year selectivity for COAST",NA,"Sel",2026-04-22 20:43:10.40168,"StartTime: Wed Apr 22 20:15:58 2026"
"sel14_age_flt4sex1.png","Ending year selectivity for Discards",NA,"Sel",2026-04-22 20:43:10.40168,"StartTime: Wed Apr 22 20:15:58 2026"
"ts7_Spawning_output.png","Spawning output",NA,"Timeseries",2026-04-22 20:43:10.40168,"StartTime: Wed Apr 22 20:15:58 2026"
"ts7_Spawning_output_with_95_intervals.png","Spawning output with ~95% asymptotic intervals",NA,"Timeseries",2026-04-22 20:43:10.40168,"StartTime: Wed Apr 22 20:15:58 2026"
"ts7_Spawning_output.png","Spawning output with forecast",NA,"Timeseries",2026-04-22 20:43:10.40168,"StartTime: Wed Apr 22 20:15:58 2026"
"ts7_Spawning_output_with_95_intervals.png","Spawning output with forecast with ~95% asymptotic intervals",NA,"Timeseries",2026-04-22 20:43:10.40168,"StartTime: Wed Apr 22 20:15:58 2026"
"ts9_Relative_spawning_output.png","Relative spawning output: B/B_MSY",NA,"Timeseries",2026-04-22 20:43:10.40168,"StartTime: Wed Apr 22 20:15:58 2026"
"ts9_Relative_spawning_output_intervals.png","Relative spawning output: B/B_MSY with ~95% asymptotic intervals",NA,"Timeseries",2026-04-22 20:43:10.40168,"StartTime: Wed Apr 22 20:15:58 2026"
"ts9_Relative_spawning_output_forecast.png","Relative spawning output: B/B_MSY with forecast",NA,"Timeseries",2026-04-22 20:43:10.40168,"StartTime: Wed Apr 22 20:15:58 2026"
"ts9_Relative_spawning_output_forecast_intervals.png","Relative spawning output: B/B_MSY with forecast with ~95% asymptotic intervals",NA,"Timeseries",2026-04-22 20:43:10.40168,"StartTime: Wed Apr 22 20:15:58 2026"
